"New ID","Period of care end","Placement Type","Reason placement ended","Legal Statuses"
15414241,02/25/2015,"U3","E43","05/09/14-25/02/15 C1"
15423022,08/28/2013,"H5","E8","10/06/10-02/09/10 V2; 02/09/10-12/07/11 C1; 12/07/11-28/08/13 C2"
15496758,08/09/2013,"H5","E4","11/03/13-09/08/13 V2"
15601962,12/21/2014,"H5","E8","18/03/11-27/03/12 V2; 27/03/12-09/05/12 C1; 09/05/12-21/12/14 C2"
15619989,05/02/2013,"A4","E11","16/09/11-09/02/12 C1; 09/02/12-02/05/13 E1"
15651254,10/09/2013,"Q2","E4","07/10/13-09/10/13 V2"
15975467,11/25/2013,"K1","E4","09/10/13-25/11/13 J1"
16007881,06/17/2016,"U6","E4A","18/05/16-20/05/16 L1; 20/05/16-17/06/16 C1"
16009972,01/12/2016,"U6","E8","30/12/15-12/01/16 L1"
16231252,08/29/2014,"R5","E9","07/03/14-29/08/14 J1"
16281498,01/10/2015,"K2","E8","07/03/08-10/01/15 V2"
16400865,12/03/2013,"Q2","E8","21/09/10-03/12/13 V2"
16459169,12/28/2015,"Q2","E8","04/12/13-28/12/15 V2"
16589606,03/13/2014,"Q2","E8","10/07/06-13/07/06 L2; 13/07/06-19/05/08 C1; 19/05/08-13/03/14 C2"
16678923,02/29/2016,"A6","E12","14/10/13-22/12/14 V2; 22/12/14-29/02/16 E1"
16764301,11/05/2012,"Q1","E4","13/04/11-05/11/12 V2"
16816342,01/30/2013,"Q2","E4","08/03/11-09/03/11 L1; 09/03/11-03/08/11 V2; 03/08/11-30/01/13 C1"
17157095,01/05/2015,"K1","E8","28/06/14-05/01/15 J1"
17213107,01/10/2017,"R5","E9","31/10/16-10/01/17 J1"
17355852,07/19/2014,"H5","E8","07/10/13-19/07/14 V2"
17522930,03/19/2014,"Q2","E8","18/03/14-19/03/14 L1"
17902988,10/30/2014,"H5","E8","02/01/13-30/10/14 V2"
17938976,11/21/2012,"Q1","E43","21/12/11-21/11/12 C1"
17955780,09/24/2012,"H5","E8","25/11/09-24/09/12 V2"
18060786,02/26/2014,"Q2","E4","20/02/12-26/02/14 C1"
